Legend of the used statistics
*****************************

Statistic             Legend
--------------------------------------------------------------
alive.rpl           : Nb alive replicates
n.adlt.fst_p12-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 20
n.adlt.fst_p12-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 21
n.adlt.fst_p12-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 22
n.adlt.fst_p12-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 23
n.adlt.fst_p12-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 12 and 24
n.adlt.fst_p13-14   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 14
n.adlt.fst_p13-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 15
n.adlt.fst_p13-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 16
n.adlt.fst_p13-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 17
n.adlt.fst_p13-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 18
n.adlt.fst_p13-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 19
n.adlt.fst_p13-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 20
n.adlt.fst_p13-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 21
n.adlt.fst_p13-22   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 22
n.adlt.fst_p13-23   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 23
n.adlt.fst_p13-24   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 13 and 24
n.adlt.fst_p14-15   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 15
n.adlt.fst_p14-16   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 16
n.adlt.fst_p14-17   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 17
n.adlt.fst_p14-18   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 18
n.adlt.fst_p14-19   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 19
n.adlt.fst_p14-20   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 20
n.adlt.fst_p14-21   : Fst (Nei & Chesser, 1983)(adult, ntrl) between patch 14 and 21
