generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
373         	1           	9.95        	0.04367     	0.05252     	0.03454     
374         	1           	9.95        	0.04386     	0.05294     	0.03447     
375         	1           	10          	0.04351     	0.05305     	0.03366     
376         	1           	10          	0.04263     	0.05186     	0.03312     
377         	1           	10          	0.04239     	0.05077     	0.03375     
378         	1           	10          	0.04191     	0.04986     	0.03372     
379         	1           	10          	0.04183     	0.04831     	0.03515     
380         	1           	10          	0.0427      	0.051       	0.03417     
381         	1           	10          	0.04277     	0.05098     	0.03432     
382         	1           	10          	0.04215     	0.05083     	0.03322     
383         	1           	10          	0.04165     	0.04978     	0.0333      
384         	1           	10          	0.04247     	0.05076     	0.03397     
385         	1           	10          	0.04253     	0.05112     	0.03372     
386         	1           	10          	0.04256     	0.05181     	0.03306     
387         	1           	10          	0.04209     	0.0514      	0.03252     
388         	1           	10          	0.04142     	0.05052     	0.03208     
389         	1           	10          	0.04095     	0.04984     	0.03181     
390         	1           	10          	0.04066     	0.04893     	0.03219     
391         	1           	10          	0.03989     	0.04768     	0.03191     
392         	1           	10          	0.03955     	0.04765     	0.03127     
393         	1           	10          	0.03999     	0.04794     	0.03186     
394         	1           	10          	0.03966     	0.04782     	0.03131     
395         	1           	10          	0.03865     	0.04664     	0.03048     
396         	1           	10          	0.03908     	0.04641     	0.0316      
397         	1           	10          	0.03879     	0.04518     	0.03226     
398         	1           	10          	0.03871     	0.04637     	0.03087     
399         	1           	10          	0.03958     	0.04725     	0.03173     
400         	1           	10          	0.03857     	0.04543     	0.03156     
401         	1           	10          	0.03837     	0.04482     	0.03178     
402         	1           	10          	0.03957     	0.04584     	0.03315     
403         	1           	10          	0.03962     	0.04635     	0.03274     
404         	1           	10          	0.03973     	0.04576     	0.03356     
405         	1           	10          	0.03982     	0.04522     	0.03429     
406         	1           	10          	0.03947     	0.04452     	0.0343      
407         	1           	10          	0.03909     	0.04486     	0.03319     
408         	1           	10          	0.03797     	0.04328     	0.03253     
409         	1           	10          	0.03653     	0.0421      	0.03082     
410         	1           	10          	0.03574     	0.04163     	0.0297      
411         	1           	10          	0.0349      	0.04143     	0.02818     
412         	1           	10          	0.03627     	0.04359     	0.02877     
413         	1           	10          	0.03651     	0.04425     	0.0286      
414         	1           	10          	0.03632     	0.04481     	0.02763     
415         	1           	10          	0.03588     	0.04567     	0.02583     
416         	1           	10          	0.03698     	0.04736     	0.02631     
417         	1           	10          	0.03781     	0.04959     	0.02568     
418         	1           	10          	0.03778     	0.04958     	0.02563     
