generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
122         	18          	1.583       	3.536e+05   	0.1882      	5.081e+04   	4.516e+04   	5.4e+04     	2.558e+04   	7076        	1.338e+04   
123         	18          	1.728       	3.417e+05   	0.1779      	5.118e+04   	4.565e+04   	5.282e+04   	2.426e+04   	5601        	1.251e+04   
124         	18          	1.275       	3.384e+05   	0.4922      	5.118e+04   	4.556e+04   	5.176e+04   	2.275e+04   	4077        	1.163e+04   
125         	18          	1.321       	3.317e+05   	0.8855      	5.126e+04   	4.562e+04   	5.101e+04   	2.112e+04   	2753        	1.105e+04   
126         	18          	1.534       	3.235e+05   	0.35        	5.156e+04   	4.625e+04   	5.004e+04   	1.992e+04   	1.331e+04   	1.008e+04   
127         	18          	1.386       	3.239e+05   	0.2804      	5.197e+04   	4.63e+04    	5.043e+04   	1.859e+04   	1.26e+04    	9010        
128         	18          	1.472       	3.215e+05   	0.6519      	5.171e+04   	4.67e+04    	5.063e+04   	1.754e+04   	1.224e+04   	1.873e+04   
129         	18          	1.617       	3.246e+05   	0.6421      	5.133e+04   	4.719e+04   	5.076e+04   	1.623e+04   	2.25e+04    	1.759e+04   
130         	18          	1.941       	4.011e+05   	0.4656      	5.143e+04   	4.719e+04   	5.072e+04   	1.482e+04   	3.136e+04   	1.601e+04   
131         	18          	2.099       	3.977e+05   	0.4705      	5.182e+04   	4.648e+04   	4.956e+04   	1.39e+04    	3.067e+04   	1.493e+04   
132         	18          	2.09        	3.84e+05    	0.586       	5.215e+04   	4.643e+04   	5.4e+04     	1.314e+04   	3.004e+04   	2.316e+04   
133         	18          	1.951       	3.935e+05   	0.8625      	5.201e+04   	4.623e+04   	5.354e+04   	1.28e+04    	2.911e+04   	2.267e+04   
134         	18          	1.941       	3.882e+05   	0.8002      	5.122e+04   	4.627e+04   	5.283e+04   	2.309e+04   	2.77e+04    	2.198e+04   
