replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	433         	10          	0.001795    	0.002142    	0.001444    
1           	434         	10          	0.001769    	0.002178    	0.001356    
1           	435         	10          	0.001612    	0.001947    	0.001272    
1           	436         	10          	0.001607    	0.001809    	0.001402    
1           	437         	10          	0.001651    	0.001917    	0.001382    
1           	438         	10          	0.001662    	0.002082    	0.001236    
1           	439         	10          	0.001935    	0.002398    	0.001465    
1           	440         	10          	0.002167    	0.002606    	0.001722    
1           	441         	10          	0.001852    	0.002056    	0.001645    
1           	442         	10          	0.001871    	0.001819    	0.001923    
1           	443         	10          	0.001966    	0.001993    	0.001938    
1           	444         	10          	0.001994    	0.002076    	0.00191     
1           	445         	10          	0.001829    	0.001747    	0.001912    
1           	446         	10          	0.002045    	0.002267    	0.001821    
1           	447         	10          	0.001993    	0.001917    	0.002069    
1           	448         	10          	0.002125    	0.00231     	0.001939    
1           	449         	10          	0.002015    	0.002098    	0.001931    
1           	450         	10          	0.001996    	0.00202     	0.001972    
1           	451         	10          	0.001966    	0.001879    	0.002053    
1           	452         	10          	0.002172    	0.002371    	0.001972    
1           	453         	10          	0.00197     	0.002224    	0.001715    
1           	454         	10          	0.001778    	0.002073    	0.001482    
1           	455         	10          	0.001655    	0.001795    	0.001514    
1           	456         	10          	0.001739    	0.002134    	0.00134     
1           	457         	10          	0.001663    	0.001922    	0.001401    
1           	458         	10          	0.001487    	0.001668    	0.001305    
1           	459         	10          	0.001664    	0.001321    	0.00201     
1           	460         	10          	0.001614    	0.001377    	0.001853    
1           	461         	10          	0.001795    	0.001793    	0.001796    
1           	462         	10          	0.001676    	0.001557    	0.001796    
1           	463         	10          	0.001639    	0.0016      	0.001678    
1           	464         	10          	0.00185     	0.001788    	0.001913    
1           	465         	10          	0.001992    	0.002126    	0.001857    
1           	466         	10          	0.00174     	0.001712    	0.001769    
1           	467         	10          	0.001835    	0.002025    	0.001644    
1           	468         	10          	0.001734    	0.001681    	0.001788    
1           	469         	10          	0.001656    	0.00144     	0.001874    
1           	470         	10          	0.001626    	0.001563    	0.00169     
1           	471         	10          	0.001598    	0.001494    	0.001702    
1           	472         	10          	0.001522    	0.001476    	0.001568    
1           	473         	10          	0.001638    	0.001667    	0.001608    
1           	474         	10          	0.001601    	0.001718    	0.001484    
1           	475         	10          	0.001708    	0.001969    	0.001445    
1           	476         	10          	0.001758    	0.002084    	0.00143     
1           	477         	10          	0.001603    	0.001964    	0.001238    
1           	478         	10          	0.001776    	0.001997    	0.001552    
1           	479         	10          	0.001946    	0.002263    	0.001627    
1           	480         	10          	0.001777    	0.001667    	0.001888    
1           	481         	10          	0.00189     	0.001893    	0.001886    
1           	482         	10          	0.001698    	0.001758    	0.001638    
1           	483         	10          	0.001798    	0.001855    	0.001741    
1           	484         	10          	0.001879    	0.001718    	0.002041    
1           	485         	10          	0.001793    	0.001685    	0.001903    
1           	486         	10          	0.001885    	0.001893    	0.001877    
1           	487         	10          	0.00186     	0.002056    	0.001663    
1           	488         	10          	0.001985    	0.002462    	0.001503    
1           	489         	10          	0.001873    	0.002142    	0.001601    
1           	490         	10          	0.002121    	0.002381    	0.001859    
