generation  	alive.rpl   	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
574         	1           	11          	0.7094      	0.7078      
575         	1           	11          	0.7063      	0.7082      
576         	1           	11          	0.7042      	0.7083      
577         	1           	11          	0.7147      	0.7125      
578         	1           	11          	0.7128      	0.7105      
579         	1           	11          	0.7154      	0.7133      
580         	1           	11          	0.7122      	0.7175      
581         	1           	11          	0.7125      	0.7088      
582         	1           	11          	0.7113      	0.7098      
583         	1           	11          	0.7078      	0.7066      
584         	1           	11          	0.7015      	0.703       
585         	1           	11          	0.7056      	0.7055      
586         	1           	11          	0.7126      	0.7078      
587         	1           	11          	0.7097      	0.7088      
588         	1           	11          	0.7169      	0.7123      
589         	1           	11          	0.711       	0.7107      
590         	1           	11          	0.7067      	0.708       
591         	1           	11          	0.7122      	0.7083      
592         	1           	11          	0.7122      	0.7109      
593         	1           	11          	0.7126      	0.7114      
594         	1           	11          	0.714       	0.7115      
595         	1           	11          	0.7154      	0.7128      
596         	1           	11          	0.7172      	0.7147      
597         	1           	11          	0.7137      	0.7194      
598         	1           	11          	0.7215      	0.7226      
599         	1           	11          	0.718       	0.7221      
600         	1           	11          	0.7147      	0.7163      
601         	1           	11          	0.7184      	0.7184      
602         	1           	11          	0.725       	0.7198      
603         	1           	11          	0.7197      	0.7205      
604         	1           	11          	0.7125      	0.7187      
605         	1           	11          	0.7119      	0.7128      
606         	1           	11          	0.7121      	0.7158      
607         	1           	11          	0.7167      	0.7199      
608         	1           	11          	0.7109      	0.7107      
609         	1           	11          	0.7051      	0.7057      
610         	1           	11          	0.7085      	0.7079      
611         	1           	11          	0.7045      	0.7058      
612         	1           	11          	0.6989      	0.7009      
613         	1           	11          	0.6991      	0.6989      
614         	1           	11          	0.6975      	0.6969      
615         	1           	11          	0.6972      	0.6956      
616         	1           	11          	0.697       	0.6969      
617         	1           	11          	0.7053      	0.7002      
618         	1           	11          	0.7016      	0.7023      
619         	1           	11          	0.6972      	0.7026      
620         	1           	11          	0.705       	0.7054      
621         	1           	11          	0.7079      	0.7074      
622         	1           	11          	0.7157      	0.7081      
623         	1           	11          	0.7191      	0.7115      
624         	1           	11          	0.7097      	0.7108      
625         	1           	11          	0.7154      	0.7108      
626         	1           	11          	0.7152      	0.7148      
627         	1           	11          	0.7178      	0.7181      
628         	1           	11          	0.7204      	0.718       
629         	1           	11          	0.7183      	0.717       
630         	1           	11          	0.7126      	0.7141      
631         	1           	11          	0.7199      	0.7162      
632         	1           	11          	0.7165      	0.7204      
633         	1           	11          	0.7206      	0.722       
634         	1           	11          	0.7209      	0.7215      
635         	1           	11          	0.7244      	0.7243      
636         	1           	11          	0.7279      	0.7256      
637         	1           	11          	0.728       	0.7265      
638         	1           	11          	0.7248      	0.7279      
639         	1           	11          	0.7289      	0.7263      
640         	1           	11          	0.7271      	0.725       
641         	1           	11          	0.7278      	0.7268      
642         	1           	11          	0.7286      	0.7274      
643         	1           	11          	0.7303      	0.7288      
644         	1           	11          	0.7207      	0.7247      
645         	1           	11          	0.7267      	0.7286      
646         	1           	11          	0.734       	0.7315      
647         	1           	11          	0.736       	0.7365      
648         	1           	11          	0.73        	0.7349      
649         	1           	11          	0.7365      	0.7368      
650         	1           	11          	0.7417      	0.739       
651         	1           	11          	0.7428      	0.7424      
652         	1           	11          	0.7385      	0.7404      
653         	1           	11          	0.7428      	0.743       
654         	1           	11          	0.7504      	0.7466      
655         	1           	11          	0.7405      	0.7464      
656         	1           	11          	0.7396      	0.7451      
657         	1           	11          	0.7454      	0.7442      
658         	1           	11          	0.7387      	0.7448      
659         	1           	11          	0.7463      	0.7448      
660         	1           	11          	0.7445      	0.7463      
661         	1           	11          	0.7446      	0.7442      
662         	1           	11          	0.7422      	0.7417      
