replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	408         	11          	0.5221      	0.5151      
1           	409         	11          	0.5264      	0.5268      
1           	410         	11          	0.5208      	0.522       
1           	411         	11          	0.5265      	0.5241      
1           	412         	11          	0.5227      	0.5231      
1           	413         	11          	0.5325      	0.5289      
1           	414         	11          	0.5295      	0.5288      
1           	415         	11          	0.5349      	0.5313      
1           	416         	11          	0.5203      	0.5261      
1           	417         	11          	0.5237      	0.5226      
1           	418         	11          	0.5246      	0.524       
1           	419         	11          	0.5234      	0.5231      
1           	420         	11          	0.524       	0.5239      
1           	421         	11          	0.5235      	0.5236      
1           	422         	11          	0.525       	0.5259      
1           	423         	11          	0.5334      	0.5298      
1           	424         	11          	0.5253      	0.5273      
1           	425         	11          	0.5202      	0.5257      
1           	426         	11          	0.5231      	0.523       
1           	427         	11          	0.5214      	0.5236      
1           	428         	11          	0.5193      	0.5211      
1           	429         	11          	0.523       	0.5225      
1           	430         	11          	0.5192      	0.5205      
1           	431         	11          	0.5243      	0.5259      
1           	432         	11          	0.5206      	0.5228      
1           	433         	11          	0.5221      	0.5258      
1           	434         	11          	0.5262      	0.5269      
1           	435         	11          	0.5192      	0.5219      
1           	436         	11          	0.5191      	0.5179      
1           	437         	11          	0.5234      	0.5239      
1           	438         	11          	0.5205      	0.5222      
1           	439         	11          	0.5264      	0.5264      
1           	440         	11          	0.5298      	0.5282      
1           	441         	11          	0.5406      	0.5358      
1           	442         	11          	0.5343      	0.5317      
1           	443         	11          	0.5393      	0.5373      
1           	444         	11          	0.5345      	0.5338      
1           	445         	11          	0.5297      	0.5281      
1           	446         	11          	0.5332      	0.5303      
1           	447         	11          	0.5328      	0.5271      
1           	448         	11          	0.5223      	0.5239      
1           	449         	11          	0.518       	0.5192      
1           	450         	11          	0.5115      	0.5162      
1           	451         	11          	0.5144      	0.5159      
1           	452         	11          	0.5094      	0.5081      
1           	453         	11          	0.5308      	0.5231      
1           	454         	11          	0.524       	0.523       
1           	455         	11          	0.5139      	0.5198      
1           	456         	11          	0.5246      	0.5231      
1           	457         	11          	0.519       	0.5246      
1           	458         	11          	0.521       	0.5188      
1           	459         	11          	0.5228      	0.5228      
1           	460         	11          	0.5211      	0.5235      
1           	461         	11          	0.5268      	0.5255      
1           	462         	11          	0.5272      	0.5235      
1           	463         	11          	0.5238      	0.5284      
1           	464         	11          	0.5269      	0.5312      
1           	465         	11          	0.5348      	0.5326      
1           	466         	11          	0.535       	0.5337      
1           	467         	11          	0.5362      	0.5386      
1           	468         	11          	0.54        	0.5413      
1           	469         	11          	0.5422      	0.5414      
1           	470         	11          	0.5482      	0.5464      
1           	471         	11          	0.5521      	0.5543      
1           	472         	11          	0.5587      	0.5595      
1           	473         	11          	0.5611      	0.563       
1           	474         	11          	0.5711      	0.5696      
1           	475         	11          	0.5629      	0.5673      
1           	476         	11          	0.5643      	0.5643      
1           	477         	11          	0.5621      	0.5616      
1           	478         	11          	0.556       	0.5557      
1           	479         	11          	0.5551      	0.556       
1           	480         	11          	0.5596      	0.5582      
