replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	258         	8.85        	0.3249      	0.5686      	0.0755      
1           	259         	8.95        	0.3231      	0.5629      	0.0778      
1           	260         	9           	0.3242      	0.5639      	0.07915     
1           	261         	8.9         	0.3256      	0.5638      	0.08184     
1           	262         	8.85        	0.3223      	0.5565      	0.08248     
1           	263         	8.85        	0.3245      	0.5595      	0.08394     
1           	264         	8.95        	0.3255      	0.5595      	0.08589     
1           	265         	9           	0.3221      	0.5522      	0.08703     
1           	266         	8.9         	0.3223      	0.5511      	0.08825     
1           	267         	8.95        	0.3179      	0.5411      	0.08977     
1           	268         	9.05        	0.3212      	0.5467      	0.0908      
1           	269         	9.15        	0.318       	0.5403      	0.09095     
1           	270         	9.05        	0.3161      	0.5375      	0.09032     
1           	271         	9.2         	0.3144      	0.5354      	0.08887     
1           	272         	9.2         	0.311       	0.5281      	0.08935     
1           	273         	9.1         	0.3075      	0.5218      	0.08851     
1           	274         	9.2         	0.306       	0.5186      	0.08895     
1           	275         	9.1         	0.3086      	0.5233      	0.0895      
1           	276         	9.3         	0.3107      	0.5259      	0.09093     
1           	277         	9.3         	0.311       	0.5251      	0.09253     
1           	278         	9.25        	0.3128      	0.5252      	0.096       
1           	279         	9.2         	0.3103      	0.5222      	0.09408     
1           	280         	9.2         	0.3128      	0.5269      	0.09431     
1           	281         	9.15        	0.3111      	0.5215      	0.09662     
1           	282         	9.2         	0.3104      	0.5189      	0.09785     
1           	283         	9.15        	0.3067      	0.5113      	0.09791     
1           	284         	9.1         	0.3046      	0.505       	0.1001      
1           	285         	9.05        	0.3027      	0.4993      	0.1019      
1           	286         	9.05        	0.3026      	0.4989      	0.1024      
1           	287         	9.05        	0.3013      	0.4942      	0.1044      
1           	288         	9.15        	0.3012      	0.4921      	0.1065      
1           	289         	9.1         	0.3026      	0.4929      	0.1084      
1           	290         	9           	0.3016      	0.4881      	0.1112      
1           	291         	9           	0.2992      	0.4843      	0.1099      
1           	292         	9.05        	0.299       	0.4858      	0.1078      
1           	293         	9.2         	0.2964      	0.479       	0.1095      
1           	294         	8.95        	0.3008      	0.4895      	0.1072      
1           	295         	9.05        	0.298       	0.4848      	0.1061      
1           	296         	9.1         	0.3004      	0.4888      	0.1071      
1           	297         	8.95        	0.3007      	0.489       	0.1079      
1           	298         	8.95        	0.3045      	0.4958      	0.1085      
1           	299         	9           	0.3074      	0.502       	0.1079      
1           	300         	9           	0.308       	0.5036      	0.1075      
1           	301         	8.75        	0.3138      	0.5171      	0.1056      
1           	302         	9           	0.3152      	0.5184      	0.1069      
1           	303         	9           	0.3156      	0.5197      	0.1063      
1           	304         	9.1         	0.3168      	0.5192      	0.1091      
1           	305         	8.9         	0.3148      	0.5174      	0.1071      
1           	306         	8.75        	0.3183      	0.5246      	0.1068      
1           	307         	8.9         	0.3202      	0.5304      	0.1046      
1           	308         	9           	0.3226      	0.5364      	0.103       
1           	309         	8.95        	0.3235      	0.5368      	0.1043      
1           	310         	9           	0.3193      	0.5316      	0.1014      
1           	311         	8.95        	0.3194      	0.5304      	0.1031      
1           	312         	8.85        	0.3252      	0.5382      	0.1068      
1           	313         	8.85        	0.3215      	0.529       	0.1083      
1           	314         	9           	0.3225      	0.532       	0.1076      
1           	315         	9.2         	0.3239      	0.5341      	0.1084      
1           	316         	9.15        	0.3262      	0.5341      	0.1128      
1           	317         	9           	0.3284      	0.5376      	0.1136      
1           	318         	9.25        	0.3264      	0.5355      	0.112       
1           	319         	9.2         	0.3258      	0.5351      	0.1111      
1           	320         	9.05        	0.3246      	0.5322      	0.1118      
1           	321         	9.1         	0.3253      	0.534       	0.1109      
1           	322         	9.05        	0.3277      	0.5361      	0.1139      
1           	323         	8.95        	0.3254      	0.5324      	0.1131      
1           	324         	8.85        	0.3247      	0.527       	0.1174      
1           	325         	8.8         	0.3254      	0.5288      	0.1168      
1           	326         	8.95        	0.3248      	0.5301      	0.1145      
1           	327         	8.8         	0.3264      	0.5328      	0.1154      
1           	328         	8.85        	0.3301      	0.5381      	0.1175      
1           	329         	8.95        	0.3285      	0.5374      	0.115       
1           	330         	9           	0.3269      	0.5328      	0.1166      
1           	331         	8.95        	0.3279      	0.5341      	0.1174      
1           	332         	9           	0.3303      	0.5373      	0.1188      
1           	333         	9.1         	0.3262      	0.5325      	0.1152      
