generation  	alive.rpl   	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
424         	1           	10          	0.02141     	0.01894     	0.02398     
425         	1           	10          	0.02146     	0.0185      	0.02454     
426         	1           	10          	0.02093     	0.01846     	0.02351     
427         	1           	10          	0.02089     	0.01898     	0.02288     
428         	1           	9.95        	0.02058     	0.01788     	0.02338     
429         	1           	9.9         	0.02        	0.0176      	0.02251     
430         	1           	10          	0.02009     	0.01706     	0.02324     
431         	1           	9.95        	0.01993     	0.01756     	0.02239     
432         	1           	9.95        	0.02006     	0.01752     	0.0227      
433         	1           	9.95        	0.01975     	0.01724     	0.02236     
434         	1           	9.85        	0.01944     	0.01669     	0.0223      
435         	1           	9.85        	0.01884     	0.01686     	0.02091     
436         	1           	9.85        	0.01866     	0.01732     	0.02005     
437         	1           	9.85        	0.01957     	0.01784     	0.02136     
438         	1           	9.95        	0.02002     	0.01809     	0.02201     
439         	1           	9.9         	0.02014     	0.01808     	0.02227     
440         	1           	9.95        	0.0202      	0.0187      	0.02176     
441         	1           	9.9         	0.01889     	0.01671     	0.02115     
442         	1           	9.95        	0.01821     	0.01618     	0.02033     
443         	1           	9.9         	0.01922     	0.01696     	0.02158     
444         	1           	9.95        	0.01814     	0.01644     	0.01991     
445         	1           	9.95        	0.01835     	0.01617     	0.02061     
446         	1           	10          	0.01768     	0.01634     	0.01907     
447         	1           	9.95        	0.01759     	0.01754     	0.01765     
448         	1           	9.95        	0.01827     	0.01795     	0.0186      
449         	1           	9.95        	0.01801     	0.01756     	0.01847     
450         	1           	9.9         	0.01756     	0.01711     	0.01803     
451         	1           	9.9         	0.01777     	0.01626     	0.01933     
452         	1           	9.9         	0.01799     	0.0159      	0.02015     
453         	1           	9.9         	0.01848     	0.01734     	0.01965     
454         	1           	9.95        	0.01696     	0.01542     	0.01854     
455         	1           	9.9         	0.01732     	0.01581     	0.01887     
456         	1           	9.85        	0.01691     	0.01594     	0.0179      
457         	1           	9.95        	0.01708     	0.01632     	0.01787     
458         	1           	9.9         	0.01758     	0.01627     	0.01893     
459         	1           	9.9         	0.01805     	0.01715     	0.01897     
460         	1           	9.9         	0.01883     	0.01696     	0.02076     
461         	1           	9.85        	0.01922     	0.01664     	0.02188     
462         	1           	9.9         	0.01915     	0.01673     	0.02165     
463         	1           	9.95        	0.02014     	0.01754     	0.02282     
464         	1           	9.9         	0.01992     	0.01837     	0.02153     
