replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	405         	6           	0.4877      	0.4865      
1           	406         	6           	0.4817      	0.4811      
1           	407         	6           	0.4825      	0.4791      
1           	408         	6           	0.4785      	0.4816      
1           	409         	6           	0.4769      	0.4757      
1           	410         	7           	0.4798      	0.4794      
1           	411         	6           	0.4734      	0.4743      
1           	412         	5           	0.477       	0.4778      
1           	413         	5           	0.4734      	0.4715      
1           	414         	5           	0.468       	0.4693      
1           	415         	6           	0.4645      	0.4642      
1           	416         	5           	0.4674      	0.4685      
1           	417         	7           	0.465       	0.469       
1           	418         	7           	0.4657      	0.4718      
1           	419         	7           	0.4726      	0.4741      
1           	420         	6           	0.4782      	0.4781      
1           	421         	5           	0.4701      	0.4764      
1           	422         	5           	0.4747      	0.4762      
1           	423         	7           	0.4822      	0.4747      
1           	424         	6           	0.4709      	0.4761      
1           	425         	6           	0.473       	0.4765      
1           	426         	6           	0.4831      	0.4815      
1           	427         	6           	0.4795      	0.479       
1           	428         	6           	0.4826      	0.4842      
1           	429         	6           	0.486       	0.4843      
1           	430         	6           	0.4858      	0.4879      
1           	431         	6           	0.4828      	0.4842      
1           	432         	6           	0.4813      	0.4781      
1           	433         	6           	0.4708      	0.4742      
1           	434         	6           	0.4807      	0.4775      
1           	435         	6           	0.4834      	0.4809      
1           	436         	6           	0.4779      	0.4814      
1           	437         	6           	0.4905      	0.4834      
1           	438         	5           	0.4929      	0.4887      
1           	439         	6           	0.4847      	0.4892      
1           	440         	7           	0.4856      	0.4857      
1           	441         	6           	0.4888      	0.4879      
1           	442         	7           	0.4818      	0.4853      
1           	443         	7           	0.4858      	0.483       
1           	444         	6           	0.4896      	0.4913      
1           	445         	6           	0.4925      	0.4919      
1           	446         	6           	0.4979      	0.4913      
1           	447         	6           	0.4875      	0.4907      
1           	448         	6           	0.4902      	0.4875      
1           	449         	7           	0.4857      	0.4879      
1           	450         	7           	0.4907      	0.4874      
1           	451         	7           	0.4898      	0.4916      
1           	452         	7           	0.4847      	0.4867      
1           	453         	7           	0.49        	0.4895      
1           	454         	7           	0.4863      	0.4958      
1           	455         	7           	0.5048      	0.4938      
1           	456         	7           	0.5005      	0.5019      
1           	457         	7           	0.5056      	0.5019      
1           	458         	7           	0.5067      	0.5032      
1           	459         	7           	0.5068      	0.5051      
1           	460         	7           	0.513       	0.5137      
1           	461         	7           	0.5107      	0.5115      
1           	462         	8           	0.5131      	0.5121      
1           	463         	8           	0.5223      	0.5155      
1           	464         	7           	0.5125      	0.5113      
1           	465         	7           	0.5092      	0.5081      
1           	466         	7           	0.5087      	0.5053      
1           	467         	7           	0.4991      	0.5015      
1           	468         	7           	0.5065      	0.5026      
1           	469         	7           	0.4979      	0.4968      
1           	470         	7           	0.4974      	0.4981      
1           	471         	7           	0.4976      	0.5012      
1           	472         	7           	0.5006      	0.5         
1           	473         	7           	0.5039      	0.5039      
1           	474         	7           	0.5063      	0.5077      
1           	475         	7           	0.5046      	0.5028      
1           	476         	7           	0.4994      	0.4974      
1           	477         	7           	0.493       	0.4929      
1           	478         	7           	0.4952      	0.4925      
1           	479         	7           	0.4874      	0.4942      
1           	480         	7           	0.4872      	0.4945      
1           	481         	7           	0.4932      	0.496       
1           	482         	7           	0.5011      	0.4945      
1           	483         	7           	0.492       	0.4935      
1           	484         	7           	0.4998      	0.494       
1           	485         	7           	0.4977      	0.4994      
1           	486         	7           	0.495       	0.4963      
1           	487         	7           	0.5022      	0.5         
1           	488         	7           	0.4923      	0.4971      
1           	489         	7           	0.4984      	0.4958      
1           	490         	7           	0.4929      	0.488       
1           	491         	7           	0.4883      	0.4854      
1           	492         	7           	0.4871      	0.4828      
1           	493         	7           	0.484       	0.4824      
1           	494         	7           	0.4893      	0.4873      
1           	495         	7           	0.484       	0.4865      
1           	496         	7           	0.4828      	0.486       
1           	497         	7           	0.4922      	0.4901      
1           	498         	7           	0.493       	0.4888      
1           	499         	7           	0.487       	0.4845      
1           	500         	7           	0.4893      	0.4863      
1           	501         	7           	0.4929      	0.4889      
1           	502         	7           	0.4861      	0.4852      
1           	503         	7           	0.4751      	0.4828      
1           	504         	7           	0.4846      	0.4851      
1           	505         	7           	0.4801      	0.4806      
1           	506         	7           	0.4871      	0.4848      
1           	507         	7           	0.4892      	0.4885      
1           	508         	7           	0.4916      	0.4872      
1           	509         	7           	0.4897      	0.4879      
1           	510         	7           	0.4796      	0.4844      
1           	511         	7           	0.4879      	0.4869      
1           	512         	7           	0.4896      	0.4862      
1           	513         	7           	0.4845      	0.4851      
1           	514         	7           	0.4958      	0.4916      
1           	515         	7           	0.4942      	0.4964      
1           	516         	7           	0.4954      	0.4929      
1           	517         	7           	0.4921      	0.4938      
1           	518         	7           	0.4966      	0.4985      
1           	519         	7           	0.4978      	0.4948      
1           	520         	7           	0.4901      	0.4933      
1           	521         	7           	0.4985      	0.5011      
1           	522         	7           	0.5015      	0.5003      
1           	523         	7           	0.5058      	0.5036      
1           	524         	7           	0.5072      	0.5046      
1           	525         	7           	0.5062      	0.5062      
1           	526         	7           	0.4944      	0.4982      
1           	527         	7           	0.5         	0.5018      
1           	528         	7           	0.4996      	0.5064      
1           	529         	7           	0.5011      	0.5052      
1           	530         	7           	0.5039      	0.5057      
1           	531         	7           	0.5097      	0.506       
1           	532         	7           	0.5117      	0.5101      
1           	533         	7           	0.5092      	0.5108      
1           	534         	7           	0.5005      	0.506       
1           	535         	7           	0.5088      	0.5046      
1           	536         	7           	0.5062      	0.5086      
1           	537         	7           	0.5033      	0.5076      
1           	538         	7           	0.5076      	0.507       
1           	539         	7           	0.5062      	0.5056      
1           	540         	7           	0.5034      	0.5077      
1           	541         	7           	0.5025      	0.5074      
1           	542         	7           	0.5108      	0.5113      
1           	543         	7           	0.5066      	0.5086      
1           	544         	7           	0.5081      	0.5096      
1           	545         	7           	0.5141      	0.5106      
1           	546         	7           	0.5094      	0.5125      
1           	547         	7           	0.5142      	0.5168      
1           	548         	7           	0.5218      	0.5221      
1           	549         	7           	0.5262      	0.5198      
1           	550         	7           	0.5213      	0.5203      
1           	551         	7           	0.5221      	0.5246      
1           	552         	8           	0.5203      	0.5235      
1           	553         	8           	0.5165      	0.5173      
1           	554         	8           	0.5182      	0.5138      
1           	555         	8           	0.5128      	0.5129      
1           	556         	8           	0.5131      	0.5152      
1           	557         	8           	0.52        	0.5183      
1           	558         	8           	0.5175      	0.5175      
1           	559         	8           	0.5247      	0.5228      
1           	560         	8           	0.5184      	0.5188      
1           	561         	8           	0.5067      	0.5116      
1           	562         	8           	0.5125      	0.5128      
1           	563         	8           	0.5125      	0.5121      
1           	564         	8           	0.5052      	0.5083      
1           	565         	8           	0.5138      	0.5113      
1           	566         	8           	0.5206      	0.5161      
1           	567         	8           	0.5171      	0.5131      
1           	568         	8           	0.5149      	0.5094      
1           	569         	8           	0.5221      	0.5162      
1           	570         	8           	0.5187      	0.5145      
1           	571         	9           	0.5112      	0.5149      
1           	572         	9           	0.5144      	0.5142      
1           	573         	9           	0.5219      	0.5198      
1           	574         	9           	0.5122      	0.5184      
1           	575         	9           	0.5251      	0.5208      
1           	576         	9           	0.5232      	0.5223      
1           	577         	9           	0.5305      	0.532       
1           	578         	9           	0.519       	0.5214      
1           	579         	8           	0.5187      	0.5209      
1           	580         	8           	0.5201      	0.5182      
1           	581         	8           	0.5187      	0.5186      
1           	582         	8           	0.5203      	0.524       
1           	583         	8           	0.5193      	0.524       
1           	584         	8           	0.5275      	0.5233      
1           	585         	7           	0.5161      	0.5159      
1           	586         	7           	0.5176      	0.5159      
1           	587         	7           	0.5144      	0.5138      
1           	588         	7           	0.5167      	0.5137      
1           	589         	8           	0.527       	0.5217      
1           	590         	8           	0.5207      	0.5193      
1           	591         	7           	0.5222      	0.5199      
1           	592         	7           	0.5116      	0.5172      
1           	593         	7           	0.5206      	0.5228      
1           	594         	7           	0.5173      	0.5228      
1           	595         	7           	0.5299      	0.5274      
1           	596         	8           	0.5379      	0.5359      
1           	597         	7           	0.5496      	0.5456      
1           	598         	7           	0.543       	0.5421      
1           	599         	7           	0.5463      	0.5477      
1           	600         	8           	0.5494      	0.5509      
1           	601         	7           	0.5555      	0.5586      
1           	602         	7           	0.5572      	0.5595      
