replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	581         	10          	0.02032     	0.02461     	0.016       
1           	582         	10          	0.0203      	0.02492     	0.01563     
1           	583         	10          	0.01988     	0.02486     	0.01485     
1           	584         	10          	0.02008     	0.0242      	0.01593     
1           	585         	10          	0.02102     	0.02629     	0.01569     
1           	586         	10          	0.02121     	0.02626     	0.01611     
1           	587         	10          	0.02089     	0.02556     	0.01617     
1           	588         	10          	0.02106     	0.02452     	0.01756     
1           	589         	10          	0.02085     	0.02452     	0.01714     
1           	590         	10          	0.02051     	0.02381     	0.01719     
1           	591         	10          	0.02081     	0.02407     	0.01753     
1           	592         	10          	0.02118     	0.0242      	0.01814     
1           	593         	10          	0.02078     	0.02387     	0.01768     
1           	594         	9.95        	0.02085     	0.0245      	0.01718     
1           	595         	9.95        	0.02146     	0.02519     	0.01772     
1           	596         	9.95        	0.0201      	0.02316     	0.01702     
1           	597         	10          	0.02003     	0.02284     	0.0172      
1           	598         	10          	0.02132     	0.02461     	0.01801     
1           	599         	9.95        	0.02178     	0.02421     	0.01933     
1           	600         	9.95        	0.02137     	0.02344     	0.01928     
1           	601         	10          	0.02201     	0.02354     	0.02047     
1           	602         	10          	0.02065     	0.02248     	0.01882     
1           	603         	9.95        	0.02169     	0.02314     	0.02024     
1           	604         	10          	0.02171     	0.02254     	0.02088     
1           	605         	9.95        	0.02196     	0.02208     	0.02185     
1           	606         	9.85        	0.02259     	0.02174     	0.02344     
1           	607         	9.85        	0.02212     	0.02151     	0.02273     
1           	608         	9.9         	0.02261     	0.0232      	0.02202     
1           	609         	10          	0.02375     	0.02466     	0.02283     
1           	610         	10          	0.02294     	0.02294     	0.02294     
1           	611         	10          	0.02327     	0.02355     	0.023       
1           	612         	10          	0.02388     	0.02368     	0.02409     
1           	613         	9.95        	0.02412     	0.02408     	0.02415     
1           	614         	9.95        	0.02363     	0.02271     	0.02455     
1           	615         	9.95        	0.02242     	0.0206      	0.02425     
1           	616         	10          	0.02194     	0.01995     	0.02393     
1           	617         	9.95        	0.02125     	0.01918     	0.02331     
1           	618         	10          	0.01998     	0.01846     	0.0215      
