replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	993         	11          	0.6973      	0.6955      
1           	994         	11          	0.6941      	0.6965      
1           	995         	11          	0.7018      	0.6992      
1           	996         	11          	0.7086      	0.7009      
1           	997         	11          	0.7037      	0.6996      
1           	998         	11          	0.6921      	0.6991      
1           	999         	11          	0.6994      	0.6957      
1           	1000        	11          	0.6952      	0.6956      
1           	1001        	11          	0.6935      	0.6933      
1           	1002        	11          	0.6854      	0.6908      
1           	1003        	11          	0.6896      	0.6908      
1           	1004        	11          	0.6831      	0.6854      
1           	1005        	11          	0.679       	0.6816      
1           	1006        	11          	0.6729      	0.6805      
1           	1007        	11          	0.6843      	0.6823      
1           	1008        	11          	0.6724      	0.6754      
1           	1009        	11          	0.6697      	0.6753      
1           	1010        	11          	0.6628      	0.6654      
1           	1011        	11          	0.664       	0.668       
1           	1012        	11          	0.6624      	0.6708      
1           	1013        	11          	0.6709      	0.6717      
1           	1014        	11          	0.6757      	0.6736      
1           	1015        	11          	0.6759      	0.6768      
1           	1016        	11          	0.6814      	0.6834      
1           	1017        	11          	0.6831      	0.6838      
1           	1018        	11          	0.6874      	0.6902      
1           	1019        	11          	0.6922      	0.6913      
1           	1020        	11          	0.6928      	0.6924      
1           	1021        	11          	0.6938      	0.691       
1           	1022        	11          	0.6972      	0.6951      
1           	1023        	11          	0.7021      	0.6987      
1           	1024        	11          	0.6976      	0.7005      
1           	1025        	11          	0.6958      	0.6972      
1           	1026        	11          	0.6943      	0.6941      
1           	1027        	11          	0.7012      	0.7022      
1           	1028        	11          	0.7057      	0.7001      
1           	1029        	11          	0.6992      	0.7045      
1           	1030        	11          	0.7074      	0.7048      
1           	1031        	11          	0.706       	0.7019      
1           	1032        	11          	0.7026      	0.6992      
1           	1033        	11          	0.696       	0.6965      
1           	1034        	11          	0.694       	0.6948      
1           	1035        	11          	0.6888      	0.6903      
1           	1036        	11          	0.6874      	0.6864      
1           	1037        	11          	0.6849      	0.6836      
1           	1038        	11          	0.689       	0.6839      
1           	1039        	11          	0.682       	0.6848      
