generation  	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6	alive.rpl   
230         	4.714       	2010        	1.862       	137.3       	342.4       	322.3       	413.1       	405.4       	389.1       	14          
231         	4.714       	2031        	1.786       	138.5       	342.1       	327.4       	415.9       	410.7       	396.5       	14          
232         	4.786       	2013        	1.95        	138.2       	343.4       	332.1       	416.5       	414.3       	368.2       	14          
233         	4.643       	1999        	1.965       	137         	345.1       	340.1       	416.1       	385         	375.3       	14          
234         	4.857       	2019        	1.929       	137.6       	342.4       	348.4       	415.2       	389.1       	385.9       	14          
235         	4.929       	2042        	1.952       	136.4       	343.6       	354         	416.7       	395.3       	396.1       	14          
236         	4.786       	2065        	1.621       	137.2       	345.7       	361.1       	414.5       	396.4       	410.1       	14          
237         	5           	2085        	1.835       	138.7       	341.4       	365.7       	415.2       	402.5       	421.8       	14          
238         	4.857       	2108        	1.962       	138.8       	342.3       	372.9       	415.6       	407.6       	430.4       	14          
239         	4.643       	2088        	2.055       	137.7       	308.6       	375.3       	415.9       	411.3       	439.7       	14          
240         	4.571       	2035        	1.933       	137.4       	310.4       	341.8       	381.4       	415.1       	448.9       	14          
241         	4.929       	2046        	1.693       	138         	310.1       	344.9       	378.2       	419.4       	455.3       	14          
242         	4.643       	2022        	1.601       	138.4       	308.6       	345         	380.1       	387.6       	462.7       	14          
243         	4.571       	2000        	1.77        	137.1       	307.9       	346.9       	380.8       	358.4       	469.1       	14          
244         	4.714       	1975        	1.788       	137.6       	308.1       	347.4       	344.6       	363.2       	473.9       	14          
245         	4.714       	1952        	1.76        	137.7       	308.9       	347.9       	345.1       	335.3       	477.4       	14          
246         	4.571       	1963        	1.425       	138         	310.1       	347.4       	346.4       	340.6       	480.6       	14          
247         	4.571       	1978        	1.944       	139         	311.7       	347.1       	347.2       	349.8       	483.1       	14          
248         	4.714       	1991        	1.431       	139.8       	311.4       	350.3       	347.9       	358.3       	483.8       	14          
249         	4.571       	1901        	1.485       	140         	277.1       	319         	346.9       	331.8       	486         	14          
250         	4.571       	1911        	1.805       	139.2       	276.6       	321.1       	348.8       	337.1       	488         	14          
251         	4.643       	1926        	1.654       	141.1       	275.3       	324.6       	351.5       	346.1       	487.5       	14          
252         	4.714       	1945        	1.751       	143.5       	277.4       	328.5       	353.4       	355.3       	486.6       	14          
253         	4.571       	1960        	1.327       	145.6       	277.9       	331.6       	354.6       	365.1       	485.3       	14          
254         	4.571       	1976        	1.651       	148.5       	274.6       	336.9       	360.1       	369.1       	486.4       	14          
255         	4.857       	2003        	1.592       	153.2       	274.9       	343.9       	362.4       	378.6       	489.9       	14          
256         	4.5         	1937        	1.838       	122.1       	274.6       	345.6       	367.4       	370.5       	456.6       	14          
257         	4.571       	1944        	1.804       	125.7       	275.9       	340.4       	369.8       	378.4       	454.1       	14          
258         	4.429       	1892        	2.11        	127.7       	242.1       	342.8       	376.4       	385         	417.8       	14          
259         	4.643       	1882        	2.032       	102.9       	242.1       	345.1       	382.9       	390.3       	419         	14          
260         	4.5         	1894        	1.707       	103.6       	242.1       	345.7       	386.7       	398.7       	416.9       	14          
261         	4.286       	1843        	1.695       	104.1       	242.2       	346.6       	392.1       	369.9       	388.1       	14          
262         	4.5         	1856        	1.637       	103.9       	242.5       	348.9       	395.4       	375.3       	389.5       	14          
263         	4.429       	1869        	1.848       	104.6       	241.4       	348.9       	397.1       	382.9       	394         	14          
264         	4.286       	1882        	1.795       	103.9       	240.4       	349.4       	401.7       	388.9       	397.4       	14          
265         	4.429       	1860        	1.956       	103.9       	238.6       	350.4       	405.9       	360.1       	400.9       	14          
266         	4.571       	1879        	1.652       	104.4       	240.8       	352.1       	409.2       	365.1       	407.2       	14          
267         	4.5         	1895        	1.867       	106.4       	240         	356.1       	412         	368.6       	412.2       	14          
268         	4.357       	1870        	1.776       	107.9       	239.8       	358.2       	415.1       	376.3       	372.6       	14          
269         	4.429       	1890        	1.508       	110.5       	240.2       	363.4       	414.6       	384.2       	376.9       	14          
270         	4.5         	1906        	1.805       	111.9       	241.3       	364.7       	415.9       	390.5       	381.1       	14          
271         	4.571       	1925        	1.893       	115.4       	242         	370         	415.3       	398.5       	384         	14          
272         	4.786       	1936        	1.705       	117.8       	240.9       	372.9       	413.8       	405.9       	384.5       	14          
273         	4.5         	1916        	2.073       	122.4       	242.4       	373.1       	415.9       	412         	350.1       	14          
274         	4.357       	1892        	1.864       	124.9       	208         	372.8       	416.6       	417.8       	351.6       	14          
275         	4.429       	1871        	1.656       	129.3       	207.2       	375.8       	416.7       	387.8       	353.9       	14          
