replicate   	generation  	n.adlt.nbAll	n.adlt.ho   	n.adlt.hs   
1           	1684        	9           	0.7834      	0.778       
1           	1685        	9           	0.7781      	0.7764      
1           	1686        	9           	0.7787      	0.7761      
1           	1687        	9           	0.7743      	0.775       
1           	1688        	9           	0.7739      	0.7743      
1           	1689        	9           	0.7713      	0.7742      
1           	1690        	9           	0.7748      	0.7746      
1           	1691        	9           	0.778       	0.7764      
1           	1692        	9           	0.7708      	0.7767      
1           	1693        	9           	0.7717      	0.7762      
1           	1694        	9           	0.7671      	0.775       
1           	1695        	9           	0.7753      	0.7729      
1           	1696        	9           	0.7705      	0.7721      
1           	1697        	9           	0.7742      	0.7735      
1           	1698        	9           	0.7701      	0.7739      
1           	1699        	9           	0.7683      	0.7745      
1           	1700        	9           	0.7714      	0.7738      
1           	1701        	10          	0.7793      	0.7753      
1           	1702        	10          	0.777       	0.7758      
1           	1703        	10          	0.7776      	0.7754      
1           	1704        	10          	0.7751      	0.777       
1           	1705        	10          	0.7756      	0.7773      
1           	1706        	10          	0.7709      	0.7762      
1           	1707        	10          	0.7813      	0.7775      
1           	1708        	10          	0.7736      	0.7765      
1           	1709        	10          	0.7789      	0.7772      
1           	1710        	10          	0.7815      	0.778       
1           	1711        	10          	0.7835      	0.7785      
1           	1712        	9           	0.7743      	0.7783      
1           	1713        	9           	0.7777      	0.7761      
1           	1714        	9           	0.7763      	0.7747      
1           	1715        	9           	0.7696      	0.774       
1           	1716        	9           	0.7741      	0.7724      
1           	1717        	9           	0.7792      	0.7742      
1           	1718        	9           	0.7744      	0.7743      
1           	1719        	9           	0.7681      	0.7731      
1           	1720        	10          	0.7698      	0.7703      
1           	1721        	10          	0.7708      	0.7682      
1           	1722        	10          	0.7718      	0.7693      
1           	1723        	9           	0.7749      	0.77        
1           	1724        	9           	0.7708      	0.7673      
1           	1725        	9           	0.7653      	0.7683      
1           	1726        	9           	0.7696      	0.7688      
1           	1727        	9           	0.7641      	0.7679      
1           	1728        	9           	0.7639      	0.7657      
1           	1729        	9           	0.7606      	0.7644      
1           	1730        	9           	0.7625      	0.7643      
1           	1731        	9           	0.7665      	0.7645      
1           	1732        	9           	0.7697      	0.7646      
1           	1733        	9           	0.763       	0.7639      
1           	1734        	9           	0.7685      	0.766       
1           	1735        	9           	0.764       	0.7671      
1           	1736        	9           	0.7627      	0.7653      
1           	1737        	9           	0.7644      	0.7649      
1           	1738        	9           	0.7718      	0.7647      
1           	1739        	9           	0.7703      	0.7643      
1           	1740        	9           	0.7649      	0.7649      
1           	1741        	9           	0.7632      	0.7642      
1           	1742        	9           	0.7707      	0.763       
1           	1743        	9           	0.7604      	0.7609      
1           	1744        	9           	0.7662      	0.7614      
1           	1745        	9           	0.76        	0.7611      
1           	1746        	9           	0.7644      	0.7629      
1           	1747        	9           	0.7621      	0.7638      
1           	1748        	9           	0.7637      	0.7628      
1           	1749        	9           	0.7671      	0.7626      
1           	1750        	9           	0.7582      	0.7621      
1           	1751        	9           	0.7652      	0.7625      
1           	1752        	9           	0.7697      	0.7596      
1           	1753        	9           	0.7587      	0.7623      
1           	1754        	9           	0.762       	0.7593      
1           	1755        	9           	0.756       	0.7579      
1           	1756        	9           	0.7571      	0.7572      
1           	1757        	9           	0.7629      	0.7585      
1           	1758        	9           	0.7545      	0.7574      
1           	1759        	9           	0.7558      	0.7599      
1           	1760        	9           	0.7538      	0.7588      
1           	1761        	9           	0.7552      	0.7583      
1           	1762        	9           	0.7595      	0.7592      
1           	1763        	9           	0.7646      	0.7634      
1           	1764        	9           	0.7565      	0.7595      
1           	1765        	9           	0.7573      	0.7584      
1           	1766        	9           	0.7544      	0.7587      
1           	1767        	9           	0.7563      	0.7597      
1           	1768        	9           	0.758       	0.7621      
1           	1769        	10          	0.7641      	0.7634      
1           	1770        	9           	0.768       	0.7645      
1           	1771        	9           	0.7692      	0.7641      
1           	1772        	9           	0.769       	0.7652      
1           	1773        	9           	0.768       	0.7657      
1           	1774        	9           	0.7609      	0.7648      
1           	1775        	9           	0.7615      	0.7646      
1           	1776        	9           	0.7586      	0.7627      
